socket_programs,bt,cg,ep,ft,is,lu,mg,sp,bt_compact,cg_compact,ep_compact,ft_compact,is_compact,lu_compact,mg_compact,sp_compact,bt_speedup,cg_speedup,ep_speedup,ft_speedup,is_speedup,lu_speedup,mg_speedup,sp_speedup
ep_cg_mg_lu,,193.82,30.36,,,229.68,19.29,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.943349,0.983531,,,1.140630,1.743909,
ep_cg_mg_sp,,247.25,31.0,,,,21.93,411.45,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.739494,0.963226,,,,1.533972,0.984591
ep_cg_sp_lu,,204.58,30.38,,,232.94,,366.34,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.893734,0.982883,,,1.124667,,1.105831
ep_ft_bt_lu,458.33,,29.92,129.9,,225.2,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.098466,,0.997995,1.450885,,1.163321,,
ep_ft_bt_sp,515.92,,30.34,140.84,,,,365.45,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.975849,,0.984179,1.338185,,,,1.108524
ep_ft_sp_lu,,,30.92,140.11,,234.96,,365.84,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.965718,1.345157,,1.114998,,1.107342
ep_mg_bt_lu,500.77,,30.26,,,231.17,19.3,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.005372,,0.986781,,,1.133279,1.743005,
ep_mg_bt_sp,565.24,,30.74,,,,22.02,411.77,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.890701,,0.971373,,,,1.527702,0.983826
ep_mg_ft_bt,501.16,,30.24,138.81,,,19.61,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.004589,,0.987434,1.357755,,,1.715451,
ep_mg_ft_lu,,,30.35,139.81,,232.53,19.67,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.983855,1.348044,,1.126650,1.710219,
ep_mg_ft_sp,,,30.83,154.29,,,22.24,423.07,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.968537,1.221531,,,1.512590,0.957548
ep_mg_sp_lu,,,30.89,,,254.12,22.3,423.9,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,,0.966656,,,1.030930,1.508520,0.955674
ft_bt_sp_lu,548.41,,,152.18,,241.5,,399.91,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.918036,,,1.238468,,1.084803,,1.013003
is_bt_sp_lu,521.01,,,,11.85,235.72,,375.65,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.966315,,,,1.135021,1.111403,,1.078424
is_cg_bt_lu,462.52,171.96,,,10.35,224.55,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.088515,1.063271,,,1.299517,1.166689,,
is_cg_bt_sp,515.08,204.88,,,11.55,,,369.5,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,0.977440,0.892425,,,1.164502,,,1.096373
is_cg_ft_bt,462.38,172.97,,134.77,10.63,,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.088845,1.057062,,1.398457,1.265287,,,
is_cg_ft_lu,,178.22,,135.5,10.85,226.34,,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.025923,,1.390923,1.239631,1.157462,,
is_cg_ft_sp,,223.81,,157.02,11.95,,,393.1,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,0.816943,,1.200293,1.125523,,,1.030552
is_cg_mg_bt,460.73,169.44,,,10.41,,62.45,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,1.092744,1.079084,,,1.292027,,0.538671,
is_cg_mg_ft,,174.62,,135.15,10.86,,63.83,,503.46,182.84,29.86,188.47,13.45,261.98,33.64,405.11,,1.047074,,1.394525,1.238490,,0.527025,
